SystemID ,n_code,b_code,name,mc_url,sector,Trade ,Price
2329, MEGASOFT ,532408,Megasoft Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/megasoft/M08, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Both Trading,7.89
2330,  ,532410,Transcorp International Ltd.,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/transcorpinternational/TI27, FINANCE - INVESTMENTS ,Bse Trading,30.45
2331, VISESHINFO ,532411,Visesh Infotechnics Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/viseshinfotechnics/VI15, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Both Trading,0.2
2332, CEREBRAINT ,532413,Cerebra Integrated Technologies Ltd.,http://www.moneycontrol.com/india/stockpricequote/computershardware/cerebraintegratedtechnologies/CIT, COMPUTERS - HARDWARE ,Both Trading,56.65
2333,  ,532414,IKF Technologies Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ikftechnologies/IKF01, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Bse Trading,0.62
2334, ANDHRABANK ,532418,Andhra Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/andhrabank/AB14, BANKS - PUBLIC SECTOR ,Both Trading,34.5
2335, SMARTLINK ,532419,Smartlink Holdings       Ltd.,http://www.moneycontrol.com/india/stockpricequote/computershardware/smartlinkholdings/SNS01, COMPUTERS - HARDWARE ,Both Trading,97.45
2336, GODREJCP ,532424,Godrej Consumer Products Ltd.,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP, PERSONAL CARE ,Both Trading,1300
2337, NEXTMEDIA ,532416,Next Mediaworks Ltd.,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/nextmediaworks/MDM01, MEDIA & ENTERTAINMENT ,Both Trading,18.35
2338,  ,532425,Gulshan Chemfill Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/gulshanchemfill/GC19, CHEMICALS ,Bse Trading,4.55
2339, BFUTILITIE ,532430,BF Utilities Ltd.,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU, POWER - GENERATION & DISTRIBUTION ,Both Trading,325.85
2340, MCDOWELL-N ,532432,United Spirits Ltd.,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/unitedspirits/US, BREWERIES & DISTILLERIES ,Both Trading,610
2341, MPSLTD ,532440,MPS Ltd.,http://www.moneycontrol.com/india/stockpricequote/printingstationery/mps/MI31, PRINTING & STATIONERY ,Both Trading,533.7
2342, OLECTRA ,532439,Olectra Greentech Ltd.,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/olectragreentech/GI29, TELECOMMUNICATIONS - SERVICE ,Both Trading,198.7
2343,  ,532444,T Spirutual World Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/tspirutualworld/TSW, COMPUTERS - SOFTWARE MEDIUM & SMALL ,Bse Trading,0.7
2344, CERA ,532443,Cera Sanitaryware Ltd.,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18, CERAMICS & GRANITE ,Both Trading,2933.45
2345, BHARTIARTL ,532454,Bharti Airtel Ltd.,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08, TELECOMMUNICATIONS - SERVICE ,Both Trading,366.75
2346,  ,532441,Rainbow Denim Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/rainbowdenim/RD01, TEXTILES - READYMADE APPARELS ,Bse Trading,3.17
2347,  ,532455,Shalimar Wires Industries Ltd.,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/shalimarwiresindustries/SWI02, METALS - NON FERROUS ,Bse Trading,21.25
2348, GULPOLY ,532457,Gulshan Polyols Ltd.,http://www.moneycontrol.com/india/stockpricequote/chemicals/gulshanpolyols/GP9, CHEMICALS ,Both Trading,60
2349,  ,532459,Aunde India Ltd.,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aundeindia/AFT02, TEXTILES - GENERAL ,Bse Trading,43
2350, PNB ,532461,Punjab National Bank,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05, BANKS - PUBLIC SECTOR ,Both Trading,83.4
2351, PONNIERODE ,532460,Ponni Sugars (Erode) Ltd.,http://www.moneycontrol.com/india/stockpricequote/sugar/ponnisugarserode/PSE03, SUGAR ,Both Trading,116
2352, COMPINFO ,532456,Compuage Infocom Ltd.,http://www.moneycontrol.com/india/stockpricequote/computershardware/compuageinfocom/CI29, COMPUTERS - HARDWARE ,Both Trading,37.5
2353,  ,532468,Kama Holdings Ltd.,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/kamaholdings/SRF03, PETROCHEMICALS ,Bse Trading,4350.05
2354, OFSS ,532466,Oracle Financial Services Software Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/oraclefinancialservicessoftware/OFS01, COMPUTERS - SOFTWARE ,Both Trading,3930
2355, UNIONBANK ,532477,Union Bank of India,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/unionbankindia/UBI01, BANKS - PUBLIC SECTOR ,Both Trading,89.1
2356, APTECHT ,532475,Aptech Ltd.,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/aptech/A11, COMPUTERS - SOFTWARE - TRAINING ,Both Trading,241.1
